target,descriptor,model,cv_rmse,cv_cliff_rmse,test_rmse,test_cliff_rmse,cv_stratified
Bcl-2,MACCS,RF,0.8236201966966097,0.8748081199664492,0.8781723548892462,0.9044086830050176,True
Bcl-2,MACCS,SVM,0.7938867912918021,0.8559526129770137,0.8423571972660383,0.85090088481908,True
Bcl-2,MACCS,GBM,0.8036232050529288,0.8594386498998486,0.8431947664525783,0.8391293215081275,True
Bcl-2,MACCS,KNN,0.89734927715501,0.969373910886292,0.9683579444714506,0.9994254694783226,True
Bcl-2,PHYSCHEM,RF,0.9039477209738356,0.9487254389440464,0.946734801463185,1.0189162888520034,True
Bcl-2,PHYSCHEM,SVM,0.9473176187822192,0.9708611872237516,0.9621819040892264,1.0246202902816233,True
Bcl-2,PHYSCHEM,GBM,0.9323922463292484,0.9810779763982994,0.932496865769478,0.9868267933976126,True
Bcl-2,PHYSCHEM,KNN,0.9750968346820929,1.0080861887793602,0.9490340422533612,1.0055297865936563,True
Bcl-2,WHIM,RF,1.025027998989703,1.0565080563800724,1.1063557861037838,1.1441540830495889,True
Bcl-2,WHIM,SVM,1.0897142619660012,1.1276286408375205,1.2215108049576628,1.2495481104556772,True
Bcl-2,WHIM,GBM,1.0421831531944392,1.0816861006481764,1.1308257622836768,1.1895349231489012,True
Bcl-2,WHIM,KNN,1.1740451228489497,1.1035301778337416,1.1920878441475615,1.1581902787950975,True
CHEMBL1827,ECFP,RF,0.6401848290932155,0.6742467723462737,1.0492411367217434,0.965884295173969,True
CHEMBL1827,ECFP,SVM,0.7318781135401226,0.569454847142824,0.8101074436696256,1.0100276110858992,True
CHEMBL1827,ECFP,GBM,0.7765471532560922,0.6255957381299266,0.8831464340685714,1.0631367296679315,True
CHEMBL1827,ECFP,KNN,0.8302780963819819,0.6246123246083829,0.9123148968808724,1.0377534925661234,True
CHEMBL1827,MACCS,RF,0.8157347458083873,0.5958133293006729,0.8466459138013052,1.026306169467715,True
CHEMBL1827,MACCS,SVM,0.8460229123156456,0.6385302636674225,0.7423864532993669,0.9504019978272892,True
CHEMBL1827,MACCS,GBM,0.7771149506952966,0.5704016703559398,0.7249036776563408,0.97257119739968,True
CHEMBL1827,MACCS,KNN,0.7761503091120442,0.7427469496033148,0.7634841530232357,0.9645296398732048,True
CHEMBL1827,PHYSCHEM,RF,0.8705588467934283,0.7294543104108641,0.8836189988574792,1.0558638504800455,True
CHEMBL1827,PHYSCHEM,SVM,1.0449552989233644,0.902276850611181,1.1074627729297093,1.407150867138105,True
CHEMBL1827,PHYSCHEM,GBM,0.9985286553893512,0.7508715547916813,0.8417860559843995,1.0823662103140963,True
CHEMBL1827,PHYSCHEM,KNN,0.9120327761741636,0.7742471518021412,0.8977381095207577,0.961979910961012,True
CHEMBL1827,WHIM,RF,1.2153661480300004,1.08099904644485,0.9853632479218104,0.8934497207147781,True
CHEMBL1827,WHIM,SVM,1.1839177251788455,0.9688281532405773,1.1893835289129469,1.001947571584184,True
